top - 11:40:14 up 4 days, 14:29,  2 users,  load average: 0.63, 0.56, 0.49
Threads: 296 total,   1 running, 295 sleeping,   0 stopped,   0 zombie
%Cpu(s): 44.7 us,  1.5 sy,  0.0 ni, 53.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:  32723396 total, 32452020 used,   271376 free,   482144 buffers
KiB Swap:  8388604 total,    55952 used,  8332652 free. 11876896 cached Mem

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
106265 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88  10:41.24 java
106266 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   2:12.14 java
106267 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:32.53 java
106268 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   1:00.00 java
106269 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:41.97 java
106270 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:48.29 java
106271 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:47.98 java
106272 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:50.69 java
106274 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   2:49.36 java
106275 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:46.34 java
106276 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:35.99 java
106277 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   2:55.63 java
106278 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:48.44 java
106279 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:43.81 java
106280 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:41.08 java
106281 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:43.23 java
106282 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   1:08.43 java
106283 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:52.35 java
106284 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:47.97 java
106285 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:32.89 java
106286 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:48.26 java
106287 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   2:24.61 java
106288 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:04.86 java
106289 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:04.80 java
106290 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:04.91 java
106291 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.83 java
106297 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.27 java
106300 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:04.96 java
106302 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.27 java
106303 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.04 java
106305 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.26 java
106316 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.27 java
106317 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.69 java
106318 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106321 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106340 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.07 java
106341 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.17 java
106342 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106343 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106344 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:09.87 java
106350 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106352 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.43 java
106354 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.81 java
106355 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.75 java
106356 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.63 java
106357 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88  38:02.94 java
106358 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.04 java
106359 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.73 java
106360 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:03.54 java
106361 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.69 java
106362 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:06.78 java
106363 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.77 java
106364 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.18 java
106367 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.48 java
106368 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106370 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.45 java
106371 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106372 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.55 java
106373 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106374 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.72 java
106375 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106376 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.36 java
106377 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106378 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.54 java
106379 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106380 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.32 java
106381 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106382 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.45 java
106383 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106413 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106459 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:04.20 java
106464 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.83 java
106467 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106469 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:08.57 java
106470 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:26.65 java
106474 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:08.15 java
106477 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.15 java
106480 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:03.79 java
106492 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:11.45 java
106509 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:04.68 java
106526 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:04.35 java
106527 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:24.11 java
106529 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.02 java
106530 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.03 java
106537 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:04.45 java
106540 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.04 java
106563 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:16.82 java
106614 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:04.40 java
106618 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.48 java
106631 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.16 java
106632 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.05 java
106642 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:04.28 java
106658 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:04.73 java
106662 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88  27:41.94 java
106683 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:16.00 java
106716 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.45 java
106719 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:12.00 java
106812 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.32 java
106816 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:09.22 java
106855 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.02 java
106856 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.03 java
106866 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
109326 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:03.15 java
109327 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.01 java
109611 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   8:33.08 java
109659 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.20 java
109672 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.24 java
109673 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.09 java
109676 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.12 java
110212 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
110879 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.46 java
116209 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.12 java
119313 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
119321 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
119536 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
119544 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
120585 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
120588 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
120915 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
  5349 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
  5350 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
  5619 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.59 java
 68332 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.01 java
 68333 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.71 java
 68334 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.15 java
 68335 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
 68356 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.18 java
