top - 15:10:23 up 27 days, 12:51,  1 user,  load average: 8.91, 8.91, 9.00
Threads: 695 total,  12 running, 683 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.6 us,  0.7 sy,  0.0 ni, 91.4 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
KiB Mem : 26403688+total, 13389056+free, 46825504 used, 83320816 buff/cache
KiB Swap:  5996540 total,  5996540 free,        0 used. 21317566+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
153496 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.08 java
155206 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
162085 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:53.41 java
162086 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:57.34 java
162091 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:40.96 java
162093 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:56.27 java
162095 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:45.34 java
162714 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:30.20 java
176462 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  23:36.62 java
180300 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:49.73 java
181712 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.09 java
181999 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
182663 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:20.06 java
182685 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:02.12 java
182692 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
182696 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
182850 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   9:50.51 java
185057 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:06.17 java
190704 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:01.00 java
190750 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:01.37 java
190802 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:52.35 java
190932 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:05.39 java
191759 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
195179 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   3:03.19 java
  2526 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  24:13.08 java
  9304 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:35.21 java
  9305 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.24 java
  9306 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:35.68 java
  9307 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.26 java
